Search,Search Count,Last Search Date
"type:folder ""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\*"" depth:<=6",2,133982479017869913
"모터 튜닝 팁",2,133981461577324048
"CH K3000 OZ",2,133981442613090014
"튜닝",2,133978872352282785
"0297",2,133978790265838801
"S250279",2,133977302132392636
"S230760",2,133971884407094401
"""\\192.168.0.25\az000_개인임시저장소\채진영\04.프로젝트 이력"" S250367",2,133971133314755200
"0310",2,133970389637742610
"S241184",2,133969288142548875
"STBa",2,133969285316618600
"S250438",2,133965815315275108
"0323",2,133963363184547360
"0228",2,133963270588719705
"0413",2,133963229996163789
"S-WTR",2,133959265235741396
"S210233",2,133959263448093910
"튜닝 팁",2,133959128409669182
"SCARA ""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\"" ",2,133959090454842327
"0684",2,133958093776693220
"S250323",2,133953865315005649
".pac ""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\"" content:0004FF-06470566 ",2,133952238764865162
"systemInfo.txt ""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\"" content:""Serial Number: 0004FF-06470566"" ",2,133952237806081663
"systemInfo.txt ""C:\Users\Doyun\Documents\업무 관련\프로그램\SubnetSyncer\SSbackup\"" content:""Serial Number: 0004FF-06470845"" ",2,133952237397156984
"""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\2025년\"" ",2,133952013613145447
"""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\2025년"" ""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\2025년\"" ",2,133952013536560802
"""C:\Users\Doyun\Documents\PROGRAMMING\Programming\Golang\testGUI2"" vite.config.ts",2,133946855220865287
"S241287",2,133946167311515363
"S250088",2,133946129551286901
"C기반",2,133942514194671739
"""C:\Users\Doyun\Desktop\backup"" folder: NEXTIN ",2,133942118955221623
"RNDLOGGER",2,133941657482866862
"S250362",2,133940927095063378
"efemtest",1,134049625877199184
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 kctech",1,134035825787013661
"""\\Rnd2000-server\C0000_Project\CF000_프로젝트이력""  folder: 0680",1,134035817429227437
"0680",1,134035817367944335
"folder: everything",1,134035816223663806
"every",1,134035815589525569
"folder: 펌웨어 신규건",1,134031689531983711
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 pem",1,134031688947147917
"folder: path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\"" !path:""\\192.168.0.25\B0000_Department\BD000_Soft_Control\BD600-프로젝트 자료\LOG\"" depth:<=1 S241185",1,134031672407981667
"AccDistResult",1,134031669239662959
